m3c2_sn_erosion_volume_m3,dod_erosion_volume_m3,mean_slope_deg
-23.577354431152344,-27.162565231323242,23.2908935546875
-9.441939353942871,-5.392168998718262,15.671819686889648
-14.74263858795166,-16.21619415283203,20.43745231628418
-21.152132034301758,-16.442672729492188,31.77965545654297
-21.875015258789062,-14.362966537475586,32.0162353515625
-2.4446568489074707,-3.184054136276245,27.335773468017578
-53.441463470458984,-56.38735580444336,37.56690216064453
-14.766260147094727,-10.399134635925293,32.192138671875
-17.967500686645508,-18.081226348876953,28.93917465209961
-26.540061950683594,-12.395630836486816,31.963212966918945
-4.626412391662598,-2.2869224548339844,27.455394744873047
-53.39847183227539,-42.55768585205078,27.56855583190918
-36.236385345458984,-16.725427627563477,33.935401916503906
-30.290864944458008,-16.470355987548828,35.87236404418945
-16.940465927124023,-6.744607448577881,32.611270904541016
-39.893924713134766,-61.286293029785156,26.46283721923828
-57.916473388671875,-46.17603302001953,27.657699584960938
-2.809128761291504,-1.7029848098754883,30.133760452270508
-42.25811767578125,-46.72581100463867,32.631446838378906
-28.810911178588867,-12.720722198486328,26.331077575683594
-87.47734832763672,-69.05203247070312,29.77705192565918
-65.4151382446289,-18.746543884277344,26.583620071411133
-42.46419906616211,-20.024110794067383,34.574867248535156
-14.546621322631836,-20.28600311279297,33.470497131347656
-29.052635192871094,-63.37058639526367,38.07708740234375
-17.48931312561035,-16.657949447631836,25.92155647277832
-15.48257827758789,-12.023931503295898,29.442445755004883
-35.61509323120117,-24.106658935546875,28.589305877685547
-79.3381576538086,-100.22064208984375,28.12729835510254
-35.6560173034668,-43.6429328918457,22.940093994140625
-73.658203125,-101.64523315429688,38.89931869506836
-109.20223236083984,-127.06153869628906,26.962249755859375
-65.15020751953125,-91.7853775024414,27.855369567871094
-18.217845916748047,-28.13045883178711,33.1036491394043
-36.32881546020508,-50.555545806884766,27.02778434753418
-95.56721496582031,-113.72101593017578,23.312297821044922
-27.121206283569336,-40.32054901123047,35.44545364379883
-66.42283630371094,-68.65278625488281,35.425697326660156
-30.10805892944336,-34.45291519165039,35.93754959106445
-44.60061264038086,-50.45667266845703,38.7236213684082
-2.4349138736724854,-2.587890386581421,35.557376861572266
-15.782065391540527,-11.811907768249512,32.90152359008789
-5.50383186340332,-5.479574203491211,34.25177764892578
-18.531612396240234,-19.346397399902344,33.1639404296875
-46.661888122558594,-58.760894775390625,33.41017150878906
-4.38524055480957,-5.700578212738037,40.899009704589844
-40.807228088378906,-46.33135223388672,37.972503662109375
-198.6884002685547,-185.75204467773438,32.20634078979492
-15.386771202087402,-11.351517677307129,40.32487869262695
-135.0591583251953,-153.34957885742188,25.60468864440918
-8.450900077819824,-10.939579963684082,29.82060432434082
-40.93452835083008,-25.50017738342285,25.371294021606445
-39.3153190612793,-31.29190444946289,28.026775360107422
-25.726829528808594,-28.8864803314209,18.638574600219727
-48.25978088378906,-60.851627349853516,21.801544189453125
-34.449607849121094,-29.13128662109375,32.25088882446289
-239.08016967773438,-290.9047546386719,27.973085403442383
-22.824504852294922,-24.9544734954834,30.45301055908203
-13.361492156982422,-10.497325897216797,37.60775375366211
-10.439498901367188,-6.936191082000732,33.6015625
-33.69014358520508,-27.512191772460938,32.369197845458984
-42.2385368347168,-57.414306640625,33.692317962646484
-19.582895278930664,-20.055124282836914,36.59408187866211
-5.228026390075684,-3.9490718841552734,29.599821090698242
-10.77728271484375,-7.002029895782471,21.71379852294922
-58.033958435058594,-46.64966583251953,27.762094497680664
-21.554956436157227,-17.241291046142578,30.44320297241211
-1.8795839548110962,-1.2335610389709473,34.145713806152344
-42.25092697143555,-41.69108581542969,31.57201385498047
-29.32304573059082,-32.62434768676758,29.43264389038086
-240.1634063720703,-256.0606994628906,27.52826690673828
-57.444095611572266,-47.03987121582031,29.96395492553711
-17.417455673217773,-15.189918518066406,34.679420471191406
-7.108570098876953,-7.638776779174805,27.640029907226562
-2.1773276329040527,-2.57904052734375,14.278453826904297
-9.835589408874512,-7.0832109451293945,27.54787826538086
-8.106450080871582,-10.43416690826416,23.740802764892578
-3.5939443111419678,-3.2046327590942383,16.540454864501953
-231.9072723388672,-187.7354736328125,29.212995529174805
-12.567293167114258,-17.32085609436035,31.621200561523438
-14.092199325561523,-9.972636222839355,34.02535629272461
-44.986412048339844,-37.64137268066406,35.074134826660156
-2.99725604057312,-2.612511157989502,27.609779357910156
-21.33779525756836,-10.910940170288086,23.96867561340332
-4.54174280166626,-4.701710224151611,33.04052734375
-24.437847137451172,-30.271156311035156,32.58460998535156
-47.838844299316406,-31.515748977661133,37.08348083496094
-23.35736846923828,-7.889837265014648,39.013221740722656
-10.982209205627441,-11.293915748596191,40.24802017211914
-57.852989196777344,-66.22370910644531,35.409812927246094
-10.868521690368652,-12.408492088317871,31.19569969177246
-16.8116512298584,-15.225647926330566,35.03205108642578
-4.812983989715576,-2.247893810272217,31.657960891723633
-30.046192169189453,-17.88849449157715,30.815113067626953
-16.69660186767578,-15.838653564453125,19.706825256347656
-252.6544952392578,-302.0082092285156,22.630210876464844
-38.01027297973633,-32.98822021484375,27.334369659423828
-15.439484596252441,-10.382246017456055,41.80438232421875
-15.629135131835938,-10.170076370239258,35.12638854980469
-13.280437469482422,-14.89952278137207,33.42113494873047
-6.110978603363037,-8.368762016296387,36.103515625
-6.44215726852417,-2.690974235534668,32.39381408691406
-11.518709182739258,-5.5448079109191895,27.09638786315918
-7.325242519378662,-3.76825213432312,28.124048233032227
-3.787998914718628,-1.1794888973236084,31.552539825439453
